epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.03,1.27337,8.70757,0.01039,0.9573,0.89194,0.93498,0.55786,1.25367,1.17642,0.0105,0.00995475,0.00331825,0.00995475,0.00331825,0.00995475,0.00331825,0.00995475,0.00331825
2,329.397,1.30301,0.95278,0.01051,0.96801,0.88798,0.94206,0.55116,1.3287,0.77446,0.01127,0.0197572,0.00658573,0.0197572,0.00658573,0.0197572,0.00658573,0.0197572,0.00658573
3,474.248,1.34745,0.77145,0.01092,0.84784,0.80019,0.84941,0.49316,1.50187,1.12949,0.01411,0.0293616,0.00978722,0.0293616,0.00978722,0.0293616,0.00978722,0.0293616,0.00978722
4,619.159,1.36681,0.8187,0.01115,0.9238,0.81875,0.89182,0.50185,1.52998,1.00105,0.01411,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,762.947,1.37555,0.69718,0.01112,0.91529,0.84548,0.88488,0.40837,1.80431,0.9087,0.01675,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,908.63,1.35061,0.6338,0.01088,0.9466,0.87522,0.92123,0.50341,1.61258,0.69219,0.01436,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1054.97,1.35898,0.60803,0.0111,0.93561,0.88961,0.92331,0.51753,1.6741,0.72363,0.01582,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1199.12,1.33569,0.59109,0.01046,0.96089,0.89264,0.9339,0.54402,1.58387,0.61142,0.01464,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1340.85,1.30738,0.54889,0.01042,0.96253,0.88549,0.93248,0.4903,1.69951,0.6893,0.01553,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1480.96,1.29089,0.51561,0.01033,0.97511,0.89429,0.9349,0.54209,1.49898,0.68626,0.01296,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1622.65,1.28857,0.53913,0.01007,0.94745,0.89194,0.93833,0.56419,1.46829,0.69586,0.0134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1765,1.29883,0.54974,0.00993,0.95082,0.86306,0.91745,0.55304,1.45495,0.70606,0.01353,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1907.61,1.26118,0.49997,0.00982,0.96514,0.90267,0.94899,0.5784,1.37356,0.60874,0.01176,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2050.21,1.25818,0.47324,0.00976,0.97885,0.91197,0.95571,0.59939,1.34942,0.5355,0.01157,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2194.18,1.26133,0.47143,0.00972,0.96407,0.90964,0.9478,0.58886,1.39854,0.56888,0.01173,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2339.6,1.25169,0.46982,0.00966,0.9744,0.91942,0.957,0.56931,1.44426,0.55222,0.01259,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2484.4,1.24861,0.46121,0.00956,0.97186,0.91707,0.95672,0.60189,1.33782,0.48621,0.01165,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2627.31,1.26013,0.44697,0.00965,0.96848,0.92361,0.95613,0.57066,1.4424,0.52216,0.01207,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2771.46,1.24002,0.46067,0.00927,0.97434,0.92129,0.95193,0.59326,1.42666,0.50635,0.01228,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2914.01,1.2353,0.442,0.00944,0.96572,0.90964,0.94457,0.56818,1.48167,0.53522,0.01248,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
