epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.5832,2.16575,0.74819,0.0095,0.89087,0.99566,0.97445,0.63983,1.37357,0.47613,0.00464,0.0009,0.0003,0.0009,0.0003,0.0709,0.0703,0.0009,0.0003
2,31.1073,1.29667,0.45414,0.00517,0.8912,0.9989,0.95278,0.6405,1.31998,0.47267,0.00423,0.00186238,0.000620793,0.00186238,0.000620793,0.038529,0.0372875,0.00186238,0.000620793
3,36.2732,1.17928,0.49856,0.00444,0.91071,1,0.96247,0.69576,1.1336,0.44207,0.00365,0.00278516,0.000928387,0.00278516,0.000928387,0.00611849,0.00426172,0.00278516,0.000928387
4,41.4845,1.02507,0.3755,0.00385,0.93093,1,0.978,0.71301,1.07159,0.39768,0.00349,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,46.7243,0.90454,0.27562,0.00335,0.93062,1,0.99068,0.73168,0.98663,0.37738,0.00321,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,52.0328,0.83896,0.27489,0.00289,0.93046,1,0.99143,0.75286,0.9225,0.39413,0.00302,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,57.2944,0.81282,0.25443,0.00291,0.97561,0.97542,0.99193,0.7597,0.88195,0.3638,0.00288,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,62.4387,0.8099,0.2922,0.00288,0.96075,0.97561,0.99242,0.76792,0.86756,0.33482,0.00276,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,67.5677,0.78213,0.28242,0.00275,0.96374,0.97561,0.99242,0.79324,0.87806,0.28988,0.00272,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,72.8057,0.72637,0.24876,0.00259,0.96358,0.97561,0.99242,0.79023,0.84336,0.25087,0.00265,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,77.9399,0.7385,0.22512,0.00256,0.96372,0.97561,0.99242,0.78652,0.82648,0.25339,0.0026,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,83.18,0.68466,0.20792,0.00264,0.97486,0.97561,0.99315,0.80243,0.85115,0.2616,0.00268,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,88.4311,0.71754,0.22779,0.0025,0.99668,0.97561,0.99364,0.81462,0.81418,0.2632,0.00256,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,93.668,0.67902,0.23805,0.00242,0.99321,0.97561,0.99364,0.81183,0.79767,0.27581,0.00254,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,98.9855,0.6253,0.20237,0.00217,0.99247,0.97561,0.99407,0.81233,0.77297,0.22997,0.00245,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,104.201,0.65994,0.21373,0.00236,0.99079,0.97561,0.99407,0.81827,0.80564,0.24226,0.00256,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,109.461,0.72253,0.23339,0.00256,0.989,0.97561,0.99407,0.81784,0.81087,0.24071,0.00252,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
