epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,460.194,1.71227,3.09329,0.01578,0.53348,0.45126,0.44918,0.20874,1.62432,2.39779,0.02077,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577
2,855.136,1.75551,1.92438,0.01642,0.56667,0.47264,0.49046,0.22168,1.71721,2.24154,0.02405,0.0197446,0.00658155,0.0197446,0.00658155,0.0197446,0.00658155,0.0197446,0.00658155
3,1220.77,1.83733,2.10642,0.01766,0.44212,0.37008,0.34646,0.13513,1.89209,2.74182,0.0273,0.029279,0.00975968,0.029279,0.00975968,0.029279,0.00975968,0.029279,0.00975968
4,1586.13,1.91035,2.19877,0.01866,0.48256,0.41599,0.38332,0.15498,1.78467,2.58314,0.02457,0.0289518,0.00965059,0.0289518,0.00965059,0.0289518,0.00965059,0.0289518,0.00965059
5,1951.45,1.88335,2.08692,0.01844,0.51505,0.43068,0.40734,0.17324,1.77902,2.69627,0.02515,0.0286024,0.00953412,0.0286024,0.00953412,0.0286024,0.00953412,0.0286024,0.00953412
6,2316.49,1.8432,1.99994,0.01739,0.53256,0.41049,0.42548,0.18459,1.81584,2.36324,0.02539,0.0282529,0.00941765,0.0282529,0.00941765,0.0282529,0.00941765,0.0282529,0.00941765
7,2681.34,1.83177,1.92502,0.01726,0.55509,0.5327,0.53082,0.23037,1.6921,1.98612,0.02288,0.0279035,0.00930118,0.0279035,0.00930118,0.0279035,0.00930118,0.0279035,0.00930118
8,3046.45,1.79076,1.84515,0.01735,0.5616,0.51634,0.53024,0.23602,1.67177,1.77052,0.02311,0.0275541,0.00918471,0.0275541,0.00918471,0.0275541,0.00918471,0.0275541,0.00918471
9,3412.18,1.78353,1.83433,0.01693,0.60895,0.52748,0.56984,0.26524,1.64569,1.76341,0.0218,0.0272047,0.00906824,0.0272047,0.00906824,0.0272047,0.00906824,0.0272047,0.00906824
10,3777.85,1.73747,1.78124,0.0165,0.64688,0.56585,0.61506,0.29666,1.59129,1.5392,0.01971,0.0268553,0.00895176,0.0268553,0.00895176,0.0268553,0.00895176,0.0268553,0.00895176
