epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,512.98,1.72554,3.10567,0.0159,0.56517,0.49095,0.5014,0.23173,1.6194,2.09024,0.02034,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577
2,966.403,1.75424,1.95148,0.01638,0.5038,0.43548,0.40532,0.17497,1.74125,2.42652,0.02472,0.0197795,0.00659318,0.0197795,0.00659318,0.0197795,0.00659318,0.0197795,0.00659318
3,1389.58,1.86924,2.10834,0.01795,0.38465,0.33684,0.28006,0.10819,1.92145,4.50386,0.028,0.0293838,0.00979459,0.0293838,0.00979459,0.0293838,0.00979459,0.0293838,0.00979459
4,1812.33,1.94139,2.20782,0.01907,0.4431,0.37612,0.34328,0.13393,1.87419,2.70154,0.02661,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2234.06,1.89652,2.09503,0.01868,0.53394,0.48228,0.47502,0.19804,1.77768,2.14984,0.02466,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2655.83,1.86354,1.99076,0.01773,0.54924,0.44321,0.45851,0.20035,1.80144,2.48124,0.02527,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3076.51,1.83621,1.9345,0.01724,0.58701,0.53449,0.54363,0.24191,1.70047,1.81468,0.02259,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3499.53,1.80505,1.86637,0.0175,0.58221,0.49861,0.52655,0.24657,1.66662,1.88068,0.02157,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3921.21,1.79216,1.83318,0.01704,0.61051,0.52836,0.55515,0.26106,1.6277,1.70483,0.02084,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4344.32,1.75076,1.77846,0.01661,0.63195,0.55902,0.60037,0.29431,1.58925,1.55721,0.02004,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4766.67,1.76436,1.74779,0.01624,0.6297,0.5537,0.59436,0.28675,1.56921,1.69566,0.01994,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5189.05,1.7392,1.71053,0.01617,0.66552,0.57694,0.63616,0.31494,1.5543,1.47876,0.0196,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5611.24,1.72218,1.66594,0.01593,0.65032,0.56721,0.62498,0.31717,1.52596,1.4799,0.01919,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6033.13,1.72192,1.64133,0.01615,0.66255,0.61701,0.66612,0.33804,1.52011,1.40146,0.01877,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
